,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression (Baseline),0.9235200222083421,0.9784595300261096,0.9165177311635783,0.9464762737384039,0.9546097880689827
Random Forest,0.9229648136581303,0.9804218387324655,0.9138368921079861,0.9459591041869524,0.9672151755712677
XGBoost,0.9216461933513777,0.9820413961038961,0.910450569090396,0.9448918826572948,0.9666621387634542
